,,,,,,,,,,,,,,,,,
id,holeNumber,par,handicap,greenLat,greenLng,men,courseRating,slopeRating,women,courseRating,slopeRating,senior,courseRating,slopeRating,championship,courseRating,slopeRating
19,1,4,4,44.84252979867205," -93.07268519483159",353,57.8,91,302,58.6,88,305,58.6,88,384,59.2,94
19,2,3,8,44.84095539469625," -93.07252429895794",108,57.8,91,87,58.6,88,89,58.6,88,139,59.2,94
19,3,3,7,44.84008078672584," -93.07423032276432",105,57.8,91,101,58.6,88,102,58.6,88,125,59.2,94
19,4,4,2,44.83740764568686," -93.07451601582494",289,57.8,91,261,58.6,88,266,58.6,88,308,59.2,94
19,5,3,9,44.839132420849715," -93.07373129893084",136,57.8,91,116,58.6,88,121,58.6,88,149,59.2,94
19,6,3,6,44.83969739726935," -93.072201440947",101,57.8,91,90,58.6,88,92,58.6,88,116,59.2,94
19,7,3,3,44.84133921407954," -93.06985013050422",92,57.8,91,73,58.6,88,75,58.6,88,121,59.2,94
19,8,4,1,44.84398189949781," -93.06889966780625",329,57.8,91,283,58.6,88,286,58.6,88,365,59.2,94
19,9,3,5,44.845506094371615," -93.06901093296543",118,57.8,91,105,58.6,88,108,58.6,88,150,59.2,94
,Inver Wood Executive 19,,,,,,,,,,,,,,,,
id,holeNumber,par,handicap,greenLat,greenLng,men,courseRating,slopeRating,women,courseRating,slopeRating,senior,courseRating,slopeRating,championship,courseRating,slopeRating
20a,1,5,7,44.841566977682604," -93.07357192737085",526,70,136,444,70,122,466,68.2,133,536,72.5,140
20a,2,4,11,44.841268737632625," -93.07731609405016",334,70,136,259,70,122,292,68.2,133,349,72.5,140
20a,3,4,9,44.8414152844306," -93.08176776178573",334,70,136,285,70,122,324,68.2,133,363,72.5,140
20a,4,4,15,44.84304353861555," -93.0845561612995",328,70,136,282,70,122,316,68.2,133,352,72.5,140
20a,5,4,5,44.84320003450473," -93.08006877567092",383,70,136,326,70,122,372,68.2,133,409,72.5,140
20a,6,3,13,44.842145629360445," -93.08204303184536",160,70,136,118,70,122,151,68.2,133,206,72.5,140
20a,7,5,3,44.84184559299641," -93.07499366612619",512,70,136,450,70,122,500,68.2,133,537,72.5,140
20a,8,4,1,44.845729065065285," -93.0736516170581",428,70,136,368,70,122,418,68.2,133,453,72.5,140
20a,9,3,17,44.84589538827976," -93.07227887590821",134,70,136,114,70,122,124,68.2,133,167,72.5,140
,Inver Wood 20a and 20b,,,,,,,,,,,,,,,,
id,holeNumber,par,handicap,greenLat,greenLng,men,courseRating,slopeRating,women,courseRating,slopeRating,senior,courseRating,slopeRating,championship,courseRating,slopeRating
20b,10,5,2,44.841309703892314," -93.0717096735837",484,70,136,416,70,122,432,68.2,133,512,72.5,140
20b,11,4,14,44.83710796479596," -93.07077210069721",325,70,136,276,70,122,314,68.2,133,351,72.5,140
